Longitude,Latitude,Cloud_Cover_Percentage,Diurnal_Temp_Range,Frost_Days,Evapotranspiration,Precipitation_Amount,Mean_Temp,Vapor_Pressure,Wet_Days_Count,elevation,Buffalo_Population,Cattle_Population,lumpy
52.0527,53.6039,66.9,6.9,31.0,0.2,38.4,-13.6,1.8,1.358504720646626,149,223.9860321,0.001396443,1
63.242,56.924,62.9,7.6,31.0,0.0,8.4,-17.0,1.5,0.9343006090196115,156,66.68872963,0.000183841,1
71.599406,54.308897,47.5,8.4,31.0,0.0,4.5,-21.0,1.2,0.8057498126412572,153,273.1004233,0.014103236,1
72.579005,54.293137,45.8,8.3,31.0,0.0,5.0,-21.5,1.0,0.951362544505703,155,255.1086888,0.008745306,1
73.552699,54.960695,48.0,8.1,31.0,0.0,5.0,-21.6,1.0,0.8376941246282462,153,268.8964691,0.003544422,1
51.795,53.928,66.9,6.9,31.0,0.1,41.5,-13.5,1.9,1.3688074211356593,152,223.7699429,0.002104975,1
63.7378,54.272,41.7,8.9,31.0,0.0,4.4,-18.8,1.3,0.9292294122086803,159,129.6842959,0.001487305,1
65.452267,55.51875,46.0,8.2,31.0,0.0,6.1,-18.6,1.4,0.9521496242066656,157,93.88023891,0.00022425,1
63.82546,54.43286,41.7,8.9,31.0,0.0,4.4,-18.8,1.3,0.9292294122086803,159,129.6842959,0.001487305,1
48.620115,53.367471,71.9,6.3,31.0,0.1,45.3,-11.4,2.3,1.378223647869541,160,541.0955888,0.090783198,1
61.737598,55.391565,52.9,8.1,31.0,0.1,6.7,-16.7,1.4,0.9384580652465945,160,559.5466462,0.120827602,1
42.998808,41.637857,66.4,9.8,30.78,0.5,62.8,-7.2,2.7,1.1748054721913217,149,1620.225271,0.004158643,1
48.223867,52.720618,72.2,6.3,31.0,0.1,48.5,-11.3,2.4,1.3589326805208293,150,276.2739316,0.001188016,1
43.04024,41.63781,68.9,9.6,30.84,0.4,37.8,-7.6,2.8,1.190118714632422,197,296.7153223,0.280069241,1
49.967458,53.578116,71.3,6.2,31.0,0.1,47.1,-12.4,2.1,1.388700259305172,152,223.6049016,0.000343344,1
61.078315,54.968664,51.6,8.2,31.0,0.1,6.3,-16.9,1.4,1.0755215413706298,158,606.0038124,0.154632748,1
48.598902,52.848873,71.0,6.5,31.0,0.1,43.2,-11.1,2.4,1.3617630613698621,153,188.1844683,0.001018926,1
60.0987,54.013498,56.3,8.5,31.0,0.1,7.0,-17.7,1.3,1.0473289511966137,164,245.2306087,0.001185613,1
50.441284,53.011447,71.2,6.2,31.0,0.1,44.6,-12.3,2.1,1.3732386093868016,151,470.3342472,0.01592319,1
50.455518,53.173852,71.2,6.2,31.0,0.1,44.6,-12.3,2.1,1.3732386093868016,151,470.3342472,0.01592319,1
50.368106,53.155601,71.2,6.2,31.0,0.1,44.6,-12.3,2.1,1.3732386093868016,151,470.3342472,0.01592319,1
50.431088,53.098593,71.2,6.2,31.0,0.1,44.6,-12.3,2.1,1.3732386093868016,151,470.3342472,0.01592319,1
49.807109,53.052669,71.9,6.3,31.0,0.1,44.3,-12.2,2.2,1.3715045510135986,151,0.0,0.0,1
49.090837,53.378337,71.9,6.2,31.0,0.1,45.1,-11.9,2.2,1.382327914456134,151,0.0,0.001142567,1
63.421231,54.671767,38.0,8.7,31.0,0.0,5.3,-18.0,1.4,0.9659482647467365,158,121.3357421,0.000543365,1
63.587311,54.676385,38.3,8.7,31.0,0.1,5.1,-18.3,1.3,0.9457899081301373,155,123.2178945,0.000314604,1
64.01455,54.652009,46.3,8.7,31.0,0.1,4.6,-18.5,1.3,0.9061446375399965,155,139.3843779,0.000764792,1
63.274788,54.358231,44.1,8.8,31.0,0.1,4.5,-18.5,1.3,0.9544975971033616,152,194.6554923,0.001484874,1
63.873514,54.656506,38.3,8.7,31.0,0.1,5.1,-18.3,1.3,0.9457899081301373,155,123.2178945,0.000314604,1
64.10991,54.342329,39.3,8.7,31.0,0.0,4.2,-18.9,1.3,0.9042893404542489,155,140.8923822,0.004954133,1
64.156846,54.77412,46.3,8.7,31.0,0.1,4.6,-18.5,1.3,0.9061446375399965,155,139.3843779,0.000764792,1
68.213566,55.074366,42.8,8.5,31.0,0.0,3.7,-20.5,1.2,0.9368024408879385,156,112.1626548,0.001854746,1
68.196559,55.111809,42.8,8.5,31.0,0.0,3.7,-20.5,1.2,0.9368024408879385,156,112.1626548,0.001854746,1
63.258643,54.6207,38.0,8.7,31.0,0.0,5.3,-18.0,1.4,0.9659482647467365,158,121.3357421,0.000543365,1
63.841314,54.68896,38.3,8.7,31.0,0.1,5.1,-18.3,1.3,0.9457899081301373,155,123.2178945,0.000314604,1
64.086675,54.626375,46.3,8.7,31.0,0.1,4.6,-18.5,1.3,0.9061446375399965,155,139.3843779,0.000764792,1
42.794891,41.698604,66.4,9.8,30.78,0.5,62.8,-7.2,2.7,1.1748054721913217,149,1620.225271,0.004158643,1
42.719268,41.668965,66.4,9.8,30.78,0.5,62.8,-7.2,2.7,1.1748054721913217,149,1620.225271,0.004158643,1
42.773602,41.674306,66.4,9.8,30.78,0.5,62.8,-7.2,2.7,1.1748054721913217,149,1620.225271,0.004158643,1
49.07513,52.850265,70.9,6.5,31.0,0.1,41.2,-11.6,2.4,1.3546122722219807,157,181.5863885,0.001444467,1
49.877967,52.997772,70.8,6.5,31.0,0.1,41.0,-12.0,2.2,1.360352775233472,158,170.7139539,0.001472443,1
49.77079,53.039687,71.9,6.3,31.0,0.1,44.3,-12.2,2.2,1.3715045510135986,151,0.0,0.0,1
49.889646,53.118124,71.9,6.3,31.0,0.1,44.3,-12.2,2.2,1.3715045510135986,151,0.0,0.0,1
49.816844,52.849799,70.8,6.5,31.0,0.1,41.0,-12.0,2.2,1.360352775233472,158,170.7139539,0.001472443,1
63.360682,54.354174,44.1,8.8,31.0,0.1,4.5,-18.5,1.3,0.9544975971033616,152,194.6554923,0.001484874,1
63.353109,54.303767,44.1,8.8,31.0,0.1,4.5,-18.5,1.3,0.9544975971033616,152,194.6554923,0.001484874,1
63.576414,54.291491,41.7,8.9,31.0,0.0,4.4,-18.8,1.3,0.9292294122086803,159,129.6842959,0.001487305,1
64.004208,54.336731,39.3,8.7,31.0,0.0,4.2,-18.9,1.3,0.9042893404542489,155,140.8923822,0.004954133,1
64.238059,54.361429,39.3,8.7,31.0,0.0,4.2,-18.9,1.3,0.9042893404542489,155,140.8923822,0.004954133,1
50.029927,53.22743,71.2,6.2,31.0,0.1,44.6,-12.3,2.1,1.3732386093868016,151,470.3342472,0.01592319,1
50.641825,53.109637,70.7,6.4,31.0,0.2,43.1,-12.6,2.0,1.368263661616458,147,197.8194671,0.004234842,1
49.269036,53.152559,71.9,6.2,31.0,0.1,45.1,-11.9,2.2,1.382327914456134,151,0.0,0.001142567,1
62.977607,54.567477,39.2,8.7,31.0,0.0,5.2,-17.8,1.4,0.9070678210397777,156,136.7594908,0.000595602,1
17.69,-17.67,67.5,13.2,0.0,4.1,139.0,25.8,19.6,1.297534056720424,183,615.0518471,0.0,1
15.45,-17.71,67.5,12.5,0.0,4.3,108.0,24.2,16.5,1.2093707861212477,181,2229.486428,0.0,1
17.21,-17.56,67.5,13.3,0.0,4.2,129.0,25.9,18.9,1.2857543837624197,184,917.7234228,0.0,1
16.02,-17.95,67.5,13.1,0.0,4.3,112.0,25.6,17.8,1.2531731562823427,182,2046.742155,0.0,1
